Symbol,Company.Name,Sector,Industry
CNOB,"ConnectOne Bancorp, Inc.",Financial,Regional - Northeast Banks
VVUS,"VIVUS, Inc.",Healthcare,Biotechnology
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold
HIW,"Highwoods Properties, Inc.",Financial,REIT - Office
AKO.A,NA,NA,NA
ADTN,"ADTRAN, Inc.",Technology,Communication Equipment
AMED,"Amedisys, Inc.",Healthcare,Home Health Care
RS,Reliance Steel & Aluminum Co.,Basic Materials,Steel & Iron
CETV,Central European Media Enterprises Ltd.,Services,Broadcasting - TV
VCO,Viña Concha y Toro S.A.,Consumer Goods,Beverages - Brewers
BMO,Bank of Montreal,Financial,Money Center Banks
UHAL,AMERCO,Services,Rental & Leasing Services
TGS,Transportadora de Gas Del Sur S.A.,Utilities,Gas Utilities
EME,"EMCOR Group, Inc.",Industrial Goods,General Contractors
PAAS,Pan American Silver Corp.,NA,NA
HA,"Hawaiian Holdings, Inc.",Services,Regional Airlines
KFRC,Kforce Inc.,Services,Staffing & Outsourcing Services
AVX,AVX Corporation,Technology,Diversified Electronics
BREW,"Craft Brew Alliance, Inc.",Consumer Goods,Beverages - Brewers
AGX,"Argan, Inc.",Industrial Goods,Heavy Construction
ERIE,Erie Indemnity Company,Financial,Insurance Brokers
POOL,Pool Corporation,Consumer Goods,Sporting Goods
BAP,Credicorp Ltd.,Financial,Money Center Banks
WAT,Waters Corporation,Healthcare,Medical Instruments & Supplies
PRXL,PAREXEL International Corporation,Healthcare,Medical Laboratories & Research
NVAX,"Novavax, Inc.",Healthcare,Biotechnology
ITT,ITT Inc.,Industrial Goods,Diversified Machinery
IPXL,"Impax Laboratories, Inc.",Healthcare,Drug Manufacturers - Major
FTAI,Fortress Transportation and Infrastructure Investors LLC,Services,Rental & Leasing Services
SCCO,Southern Copper Corporation,Basic Materials,Copper
RCI,Rogers Communications Inc.,Technology,Wireless Communications
CSGS,"CSG Systems International, Inc.",Technology,Business Software & Services
REV,"Revlon, Inc.",Consumer Goods,Personal Products
CENX,Century Aluminum Company,Basic Materials,Aluminum
JAKK,"JAKKS Pacific, Inc.",Consumer Goods,Toys & Games
ANSS,"Ansys, Inc.",Technology,Application Software
PEGA,"Pegasystems, Inc.",Technology,Business Software & Services
LAMR,Lamar Advertising Company,Financial,REIT - Diversified
ETFC,E*TRADE Financial Corporation,Financial,Investment Brokerage - National
FMS,Fresenius Medical Care AG & Co. KGAA,Healthcare,Specialized Health Services
NCI,"Navigant Consulting, Inc.",Services,Management Services
NVS,Novartis AG,Healthcare,Drug Manufacturers - Major
PDS,Precision Drilling Corporation,Basic Materials,Oil & Gas Equipment & Services
PSO,Pearson plc,Services,Publishing - Books
NUS,"Nu Skin Enterprises, Inc.",Consumer Goods,Personal Products
EMITF,Elbit Imaging Ltd.,NA,NA
TESO,Tesco Corporation,Basic Materials,Oil & Gas Equipment & Services
VSAT,"ViaSat, Inc.",Technology,Communication Equipment
SNAK,"Inventure Foods, Inc.",Consumer Goods,Processed & Packaged Goods
SNHY,Sun Hydraulics Corporation,Industrial Goods,Industrial Equipment & Components
ESGR,Enstar Group Limited,Financial,Property & Casualty Insurance
ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts
FBC,"Flagstar Bancorp, Inc.",Financial,Savings & Loans
VTR,"Ventas, Inc.",Financial,REIT - Healthcare Facilities
AMZN,"Amazon.com, Inc.",Services,Catalog & Mail Order Houses
NTL,Nortel Inversora S.A.,Technology,Telecom Services - Foreign
SRT,"StarTek, Inc.",Services,Business Services
FIX,"Comfort Systems USA, Inc.",Industrial Goods,General Contractors
EGHT,"8x8, Inc.",Technology,Diversified Communication Services
PSMT,"PriceSmart, Inc.",Services,"Discount, Variety Stores"
PLCE,"The Children's Place, Inc.",Services,Apparel Stores
SRI,"Stoneridge, Inc.",Consumer Goods,Auto Parts
CHRW,"C.H. Robinson Worldwide, Inc.",Services,Air Delivery & Freight Services
FORTY,Formula Systems (1985) Ltd.,Technology,Business Software & Services
CHL,China Mobile Limited,Technology,Wireless Communications
CSU,Capital Senior Living Corporation,Healthcare,Long-Term Care Facilities
SAH,"Sonic Automotive, Inc.",Services,Auto Dealerships
GEOS,Geospace Technologies Corporation,Basic Materials,Oil & Gas Equipment & Services
AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment
NICK,"Nicholas Financial, Inc.",Financial,Credit Services
PWR,"Quanta Services, Inc.",Industrial Goods,General Contractors
SCS,Steelcase Inc.,Consumer Goods,Business Equipment
WDR,"Waddell & Reed Financial, Inc.",Financial,Asset Management
UVSP,Univest Corporation of Pennsylvania,Financial,Regional - Northeast Banks
CFFI,C&F Financial Corporation,Financial,Regional - Mid-Atlantic Banks
FII,"Federated Investors, Inc.",Financial,Asset Management
AXTI,"AXT, Inc.",Technology,Semiconductor - Integrated Circuits
BDE,NA,NA,NA
HCKT,"The Hackett Group, Inc.",Services,Management Services
GIL,Gildan Activewear Inc.,Consumer Goods,Textile - Apparel Clothing
CSGP,"CoStar Group, Inc.",Financial,Property Management
HTBK,Heritage Commerce Corp,Financial,Regional - Pacific Banks
RBCAA,"Republic Bancorp, Inc.",Financial,Regional - Southeast Banks
IX,ORIX Corporation,Financial,Credit Services
VIV,Telefônica Brasil S.A.,Technology,Wireless Communications
PAA,"Plains All American Pipeline, L.P.",Basic Materials,Oil & Gas Pipelines
BCOR,"Blucora, Inc.",Technology,Internet Information Providers
AMRB,American River Bankshares,Financial,Regional - Pacific Banks
BAK,Braskem S.A.,Basic Materials,Chemicals - Major Diversified
ETM,Entercom Communications Corp.,Services,Broadcasting - Radio
GBL,"GAMCO Investors, Inc.",Financial,Asset Management
EPAY,"Bottomline Technologies (de), Inc.",Technology,Business Software & Services
EXTR,"Extreme Networks, Inc.",Technology,Networking & Communication Devices
ATLC,Atlanticus Holdings Corporation,Financial,Credit Services
PGC,Peapack-Gladstone Financial Corporation,Financial,Regional - Northeast Banks
WTBA,"West Bancorporation, Inc.",Financial,Regional - Southwest  Banks
KT,KT Corporation,Technology,Telecom Services - Foreign
NAD,Nuveen Quality Municipal Income Fund,NA,NA
FFIV,"F5 Networks, Inc.",Technology,Business Software & Services
JNPR,"Juniper Networks, Inc.",Technology,Networking & Communication Devices
KTP,NA,NA,NA
FNLC,"The First Bancorp, Inc.",Financial,Regional - Northeast Banks
HSBC,HSBC Holdings plc,Financial,Foreign Money Center Banks
ACTA,Actua Corporation,Technology,Application Software
PCTI,"PCTEL, Inc.",Technology,Wireless Communications
RHT,"Red Hat, Inc.",Technology,Application Software
NTCT,"NetScout Systems, Inc.",Technology,Business Software & Services
MFC,Manulife Financial Corporation,Financial,Life Insurance
RDWR,Radware Ltd.,Technology,Information Technology Services
BLK,"BlackRock, Inc.",Financial,Asset Management
CIR,"CIRCOR International, Inc.",Industrial Goods,Industrial Equipment & Components
PTNR,Partner Communications Company Ltd.,Technology,Wireless Communications
NSL,Nuveen Senior Income Fund,NA,NA
AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments
BST,NA,NA,NA
PKG,Packaging Corporation of America,Consumer Goods,Packaging & Containers
UTSI,UTStarcom Holdings Corp.,Technology,Wireless Communications
EW,Edwards Lifesciences Corporation,Healthcare,Medical Appliances & Equipment
PTR,PetroChina Company Limited,Basic Materials,Major Integrated Oil & Gas
FBR,Fibria Celulose S.A.,Consumer Goods,Paper & Paper Products
GSOL,Global Sources Ltd.,Services,Business Services
ON,ON Semiconductor Corporation,Technology,Semiconductor - Broad Line
UBS,UBS Group AG,Financial,Foreign Money Center Banks
SONS,"Sonus Networks, Inc.",Technology,Communication Equipment
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Appliances & Equipment
CHU,China Unicom (Hong Kong) Limited,Technology,Wireless Communications
MVC,NA,NA,NA
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials
ERJ,Embraer S.A.,Industrial Goods,Aerospace/Defense Products & Services
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology
SPTN,SpartanNash Company,Services,Food Wholesale
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Services,"Air Services, Other"
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
GPN,Global Payments Inc.,Services,Business Services
CSFL,CenterState Bank Corporation,Financial,Regional - Southeast Banks
AMOV,"América Móvil, S.A.B. de C.V.",NA,NA
OIS,"Oil States International, Inc.",Basic Materials,Oil & Gas Equipment & Services
IDT,IDT Corporation,Technology,Diversified Communication Services
COL,"Rockwell Collins, Inc.",Industrial Goods,Aerospace/Defense Products & Services
FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services
TAC,TransAlta Corporation,Utilities,Diversified Utilities
PFG,"Principal Financial Group, Inc.",Financial,Life Insurance
CCRN,"Cross Country Healthcare, Inc.",Services,Staffing & Outsourcing Services
LYG,Lloyds Banking Group plc,Financial,Foreign Money Center Banks
AKP,"Alliance California Municipal Income Fund, Inc.",NA,NA
MANT,ManTech International Corporation,Technology,Security Software & Services
JBLU,JetBlue Airways Corporation,Services,Regional Airlines
NPO,"EnPro Industries, Inc.",Industrial Goods,Industrial Equipment & Components
BGFV,Big 5 Sporting Goods Corporation,Services,Sporting Goods Stores
JPS,Nuveen Preferred Securities Income Fund,NA,NA
NGS,"Natural Gas Services Group, Inc.",Basic Materials,Oil & Gas Equipment & Services
MMLP,Martin Midstream Partners L.P.,Basic Materials,Oil & Gas Pipelines
CME,CME Group Inc.,Financial,Investment Brokerage - National
STX,Seagate Technology plc,Technology,Data Storage Devices
FPT,Federated Premier Intermediate Municipal Income Fund,NA,NA
NKX,Nuveen California AMT-Free Quality Municipal Income Fund,NA,NA
IHG,InterContinental Hotels Group PLC,Services,Lodging
CHY,Calamos Convertible and High Income Fund,NA,NA
DGICA,Donegal Group Inc.,NA,NA
NTGR,"NETGEAR, Inc.",Technology,Communication Equipment
TI.A,NA,NA,NA
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,NA,NA
WIA,Western Asset/Claymore Inflation-Linked Securities & Income Fund,NA,NA
WF,"Woori Bank Co., Ltd.",NA,NA
LKQ,LKQ Corporation,Consumer Goods,Auto Parts
CMS.PB,NA,NA,NA
PIY,NA,NA,NA
MRLN,Marlin Business Services Corp.,Financial,Mortgage Investment
NXST,"Nexstar Media Group, Inc.",Services,Broadcasting - TV
KTN,NA,NA,NA
AHL,Aspen Insurance Holdings Limited,Financial,Property & Casualty Insurance
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,NA,NA
WIW,Western Asset/Claymore Inflation-Linked Opportunities & Income Fund,NA,NA
RNR.PC,NA,NA,NA
MFD,NA,NA,NA
MCHX,"Marchex, Inc.",Services,Marketing Services
GJH,NA,NA,NA
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology
LPL,"LG Display Co., Ltd.",Technology,Diversified Electronics
PYT,NA,NA,NA
BECN,"Beacon Roofing Supply, Inc.",Industrial Goods,General Building Materials
EOI,Eaton Vance Enhanced Equity Income Fund,NA,NA
BBW,"Build-A-Bear Workshop, Inc.",Services,Toy & Hobby Stores
DLR,"Digital Realty Trust, Inc.",Financial,REIT - Office
OHAI,NA,NA,NA
ORA,"Ormat Technologies, Inc.",Utilities,Electric Utilities
FMO,Fiduciary/Claymore MLP Opportunity Fund,NA,NA
CE,Celanese Corporation,Basic Materials,Chemicals - Major Diversified
LCM,Advent/Claymore Enhanced Growth & Income Fund,NA,NA
PBH,"Prestige Brands Holdings, Inc.",Healthcare,Medical Appliances & Equipment
EVG,Eaton Vance Short Duration Diversified Income Fund,NA,NA
MORN,"Morningstar, Inc.",Technology,Information & Delivery Services
TGP,Teekay LNG Partners L.P.,Services,Shipping
BOE,NA,NA,NA
LOR,Lazard World Dividend & Income Fund Inc.,NA,NA
SLMBP,SLM Corporation,NA,NA
LORL,Loral Space & Communications Inc.,Technology,Communication Equipment
BDJ,NA,NA,NA
GHDX,"Genomic Health, Inc.",Healthcare,Medical Laboratories & Research
GLP,Global Partners LP,Services,Basic Materials Wholesale
WSBF,"Waterstone Financial, Inc.",Financial,Savings & Loans
EGF,NA,NA,NA
AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other"
FBIZ,"First Business Financial Services, Inc.",Financial,Regional - Midwest Banks
GYC,NA,NA,NA
VIAB,"Viacom, Inc.",Services,Entertainment - Diversified
GDV.PA,NA,NA,NA
HEES,"H&E Equipment Services, Inc.",Services,Rental & Leasing Services
PERI,Perion Network Ltd.,Technology,Business Software & Services
ETE,"Energy Transfer Equity, L.P.",Basic Materials,Oil & Gas Pipelines
XCO,"EXCO Resources, Inc.",Basic Materials,Independent Oil & Gas
BTA,BlackRock Long-Term Municipal Advantage Trust,NA,NA
TDG,TransDigm Group Incorporated,Industrial Goods,Aerospace/Defense Products & Services
PFK,"Prudential Financial, Inc.",NA,NA
QVCA,QVC Group,Services,Catalog & Mail Order Houses
GS.PD,NA,NA,NA
MA,Mastercard Incorporated,Financial,Credit Services
MWA,"Mueller Water Products, Inc.",Industrial Goods,Industrial Equipment & Components
SNCR,"Synchronoss Technologies, Inc.",Technology,Application Software
KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum
WYN,Wyndham Worldwide Corporation,Services,Lodging
CPG,Crescent Point Energy Corp.,Basic Materials,Independent Oil & Gas
WNS,WNS (Holdings) Limited,Services,Business Services
AGD,NA,NA,NA
EDU,New Oriental Education & Technology Group Inc.,Services,Education & Training Services
WU,The Western Union Company,Financial,Credit Services
GURE,"Gulf Resources, Inc.",Basic Materials,Specialty Chemicals
IPHS,"Innophos Holdings, Inc.",Basic Materials,Specialty Chemicals
ALLT,Allot Communications Ltd.,Technology,Communication Equipment
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,NA,NA
AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance
GTT,"GTT Communications, Inc.",Technology,Diversified Communication Services
BTZ,NA,NA,NA
CTAA,Qwest Corporation,NA,NA
EIG,"Employers Holdings, Inc.",Financial,Accident & Health Insurance
ARAY,Accuray Incorporated,Healthcare,Medical Appliances & Equipment
PSTB,Park Sterling Corporation,Financial,Regional - Southeast Banks
KS,KapStone Paper and Packaging Corporation,Consumer Goods,Paper & Paper Products
CPLP,Capital Product Partners L.P.,Services,Shipping
AFC,Allied Capital Corporation,NA,NA
PNNT,NA,NA,NA
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",NA,NA
CAVM,"Cavium, Inc.",Technology,Semiconductor - Broad Line
IBKR,"Interactive Brokers Group, Inc.",Financial,Investment Brokerage - National
BGY,NA,NA,NA
TYPE,Monotype Imaging Holdings Inc.,Technology,Application Software
GOF,Guggenheim Strategic Opportunities Fund,NA,NA
GJT,"Strats(SM) Trust For Allstate Corp Securities, Series 2006-3",NA,NA
CXO,Concho Resources Inc.,Basic Materials,Oil & Gas Drilling & Exploration
VRTU,Virtusa Corporation,Technology,Information Technology Services
CZZ,Cosan Limited,Utilities,Diversified Utilities
ATHN,"athenahealth, Inc.",Technology,Healthcare Information Services
REN,Resolute Energy Corporation,Basic Materials,Independent Oil & Gas
MAIN,Main Street Capital Corporation,Financial,Diversified Investments
DFT,"DuPont Fabros Technology, Inc.",Financial,REIT - Office
CVI,"CVR Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing
